H2O	O
tritrans,heptacis-Undecaprenyl phosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)O)C)C)C)C)C)C)C)C)C)C)C
N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C)O)NC(=O)C
alpha-D-Ribose 1-methylphosphonate 5-triphosphate	CP(=O)(O)OC1C(C(C(O1)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
2-Oxoglutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(=O)CCC(=O)O)O
GDP-4-amino-4,6-dideoxy-alpha-D-mannose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)N
L-Threonylcarbamoyladenylate	CC(C(C(=O)O)NC(=O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)O
3-Benzylmalic acid	C1=CC=C(C=C1)CC(C(C(=O)[O-])O)C(=O)[O-]
meso-2,3-Butanediol	CC(C(C)O)O
3-Dehydro-D-glucose 6-phosphate	C(C1C(C(=O)C(C(O1)O)O)O)OP(=O)([O-])[O-]
(E)-4-(Trimethylammonio)but-2-enoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC[N+](C)(C)C)O
L-Carnitinyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(C[N+](C)(C)C)O)O
6-Amino-6-deoxyfutalosine	C1=CC(=CC(=C1)C(=O)[O-])C(=O)CCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O
2,4-Diketo-3-deoxy-L-fuconate	CC(C(=O)CC(=O)C(=O)[O-])O
	
	
['6-Deoxy-6-sulfo-D-fructose']	C(C1C(C(C(O1)(CO)O)O)O)S(=O)(=O)[O-]
['6-Deoxy-6-sulfo-D-fructose 1-phosphate']	C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)S(=O)(=O)[O-]
['3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA;', 'HIP-CoA']	CC12CCC(=O)C(C1CCC2=O)CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)OP(=O)(O)O)O
['3-(Methylthio)propanoyl-CoA;', '3-(Methylsulfanyl)propanoyl-CoA']	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCSC)O
['beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine;', '4-O-beta-D-Mannopyranosyl-N-acetyl-D-glucosamine']	CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O
"['beta-Citraurin;', ""3-Hydroxy-beta-apo-8'-carotenal;"", ""3beta-Hydroxy-8'-apo-beta-carotenal""]"	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C
['D-Galactaro-1,4-lactone']	C1(C(C(=O)OC1C(C(=O)O)O)O)O
['L-Dihydroanticapsin']	C1CC(C2C(C1CC(C(=O)O)N)O2)O
['L-Anticapsin;', 'Anticapsin']	C1CC(=O)C2C(C1CC(C(=O)O)N)O2
['(R)-Ipsdienol;', '(4R)-2-Methyl-6-methyleneocta-2,7-dien-4-ol']	CC(=CC(CC(=C)C=C)O)C
['Ipsdienone;', '2-Methyl-6-methyleneocta-2,7-dien-4-one']	CC(=CC(=O)CC(=C)C=C)C
['(5-Formylfuran-3-yl)methyl phosphate;', '2-Furaldehyde phosphate;', '4-HFC-P;', '4-(Hydroxymethyl)-2-furancarboxaldehyde phosphate']	C1=C(OC=C1COP(=O)([O-])[O-])C=O
['3-(Methylthio)acryloyl-CoA;', 'Methylthioacryloyl-CoA;', '3-(Methylsulfanyl)acryloyl-CoA']	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C=CSC)O
['L-Alanyl-D-glutamate']	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
['L-Alanyl-L-glutamate']	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
['(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione;', '(4S)-4-Hydroxy-5-phosphonooxypentane-2,3-dione;', 'Phospho-DPD;', 'P-DPD;', '(2S)-2-Hydroxy-3,4-dioxopentyl phosphate;', 'Phospho-AI-2']	
['N3-Fumaroyl-L-2,3-diaminopropanoate;', 'N3-Fumaroyl-(S)-2,3-diaminopropanoate;', '(2E)-4-{[(2S)-2-Amino-2-carboxyethyl]amino}-4-oxobut-2-enoate']	C(C(C(=O)O)N)NC(=O)C=CC(=O)O
['3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine']	C(C(C(=O)O)N)NC(=O)C=CC(=O)N
['Carboxyphosphate']	C(=O)(O)OP(=O)(O)O
['8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C']	CC1C(C(C(C(O1)OC2=CC3=CC4=C(C(=C3C(=C2C(=O)OC)C)O)C(=O)C5(C(=O)C=C(C(C5(C4=O)O)O)OC)O)O)O)O
['8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C']	CC1C(C(C(C(O1)OC2=CC3=CC4=C(C(=C3C(=C2C(=O)OC)C)O)C(=O)C5(C(=O)C=C(C(C5(C4=O)O)O)OC)O)OC)O)O
['8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C']	CC1C(C(C(C(O1)OC2=CC3=CC4=C(C(=C3C(=C2C(=O)OC)C)O)C(=O)C5(C(=O)C=C(C(C5(C4=O)O)O)OC)O)OC)OC)O
['2-(alpha-Hydroxypropyl)thiamine diphosphate;', '2-Hydroxypropyl-ThPP']	CCC(C1=[N+](C(=C(S1)CCOP(=O)(O)OP(=O)(O)O)C)CC2=CN=C(N=C2N)C)O
['(R)-3-Ureidoisobutyrate;', '(R)-N-Carbamyl-beta-aminoisobutyrate']	CC(CNC(=O)N)C(=O)O
['[5-(Aminomethyl)furan-3-yl]methyl phosphate;', '5-(Aminomethyl)-3-furanmethanol phosphate']	C1=C(OC=C1COP(=O)([O-])[O-])C[NH3+]
['(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate;', 'Epoxy-3E-H2HPP']	C1CC(=CC(=O)C(=O)O)C2C(C1O)O2
['3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate;', 'Epoxy-4S-H4HPP']	C1CC(C2C(C1CC(=O)C(=O)[O-])O2)O
['1,3,7-Trimethyl-5-hydroxyisourate']	CN1C2=NC(=O)N(C2(C(=O)N(C1=O)C)O)C
"[""Adenosylcobalamin 5'-phosphate""]"	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co+3]
['4-Hydroxy-3-methylbenzaldehyde']	CC1=C(C=CC(=C1)C=O)O
['4-Hydroxy-3-methylbenzoate;', '4-Hydroxy-m-toluate']	CC1=C(C=CC(=C1)C(=O)O)O
['2-Methyl-trans-aconitate']	CC(=C(CC(=O)[O-])C(=O)[O-])C(=O)[O-]
['Fe-coproporphyrin III;', 'Coproheme III']	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)CCC(=O)O)C)C(=C3C)CCC(=O)O)CCC(=O)O.[Fe+2]
['D-Erythritol 1-phosphate']	C(C(C(COP(=O)(O)O)O)O)O
"[""(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate""]"	C(C1C2(C(C(O1)N3C2NC4=C3N=C(NC4=O)N)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
['8-Dehydro-3-deoxy-D-manno-octulosonate;', '3,8-Dideoxy-8-oxo-D-manno-octulosonate']	C1C(C(C(OC1(C(=O)O)O)C(C=O)O)O)O
['8-Amino-3,8-dideoxy-D-manno-octulosonate;', 'Kdo8N']	C1C(C(C(OC1(C(=O)[O-])O)C(C[NH3+])O)O)O
['beta-1,2-Mannobiose;', 'beta-D-Mannopyranosyl-(1->2)-D-mannopyranose']	C(C1C(C(C(C(O1)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)O
['dTDP-4-oxo-alpha-D-xylose;', 'dTDP-4-keto-alpha-D-xylose;', 'dTDP-4-dehydro-alpha-D-xylose']	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(=O)CO3)O)O)O
['dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene;', 'dTDP-2-deoxy-4-keto-alpha-D-pentos-2-ene']	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C=C(C(=O)CO3)O)O
['dTDP-4-oxo-2-deoxy-beta-L-xylose;', 'dTDP-4-keto-2-deoxy-beta-L-xylose;', 'dTDP-4-dehydro-2-deoxy-beta-L-xylose']	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3CC(C(=O)CO3)O)O
['3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp];', '3-Hydroxy-4,6,8,10,12,14-hexadecahexaenoyl-[acp]']	
['Valienol 1-phosphate']	C1=C(C(C(C(C1OP(=O)(O)O)O)O)O)CO
['GDP-valienol']	C1=C(C(C(C(C1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O)CO
['Malonamoyl-[acyl-carrier protein];', 'Malonamoyl-[acp]']	
['Cytidylyl molybdenum cofactor;', 'Molybdopterin cytosine dinucleotide cofactor']	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(=C(C4C(O3)NC5=C(N4)C(=O)NC(=N5)N)[S-])[S-])O)O.O=[Mo+2]=O
['alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol']	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)CO)O)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C
['4-Hydroxybenzoyl-adenylate;', '4-Hydroxybenzoyl-AMP']	C1=CC(=CC=C1C(=O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O
['4-Hydroxybenzoyl-[acp];', '4-Hydroxybenzoyl-[acyl-carrier protein]']	
['Nickel-sirohydrochlorin;', 'Ni-sirohydrochlorin']	CC1(C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(C(C(=N5)C=C1[N-]2)CCC(=O)[O-])(C)CC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])C(=C3CC(=O)[O-])CCC(=O)[O-])CCC(=O)[O-])CC(=O)[O-].[Ni]
['Nickel-sirohydrochlorin a,c-diamide;', 'Ni-sirohydrochlorin a,c-diamide']	CC1(C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(C(C(=N5)C=C1[N-]2)CCC(=O)[O-])(C)CC(=O)N)CC(=O)[O-])CCC(=O)[O-])C(=C3CC(=O)[O-])CCC(=O)[O-])CCC(=O)[O-])CC(=O)N.[Ni]
['N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate']	C(CC(=O)O)C(C(=O)O)NCC(C(=O)O)N
['Pyrrolyl-2-carboxyl-S-[acyl-carrier protein];', 'Pyrrolyl-2-carboxyl-S-[acp]']	
"[""4-Hydroxy-2,2'-bipyrrole-5-methanol""]"	C1=CNC(=C1)C2=CC(=C(N2)CO)O
['Anaerobilin']	
['3-Dehydro-L-erythronate']	C(C(=O)C(C(=O)[O-])O)O
['2-Dehydro-D-erythronate']	C(C(C(=O)C(=O)[O-])O)O
['2-Dehydro-L-erythronate']	C(C(C(=O)C(=O)[O-])O)O
['5-Fluorouridine diphosphate']	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O)F
['5-Fluorouridine triphosphate']	C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)F
['5-Fluorodeoxyuridine diphosphate']	C1C(C(OC1N2C=C(C(=O)NC2=O)F)COP(=O)(O)OP(=O)(O)O)O
['5-Fluorodeoxyuridine triphosphate']	C1C(C(OC1N2C=C(C(=O)NC2=O)F)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
['N-(4-Oxoglutaryl)-L-cysteinylglycine;', 'Deaminated glutathione']	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)C(=O)O
['UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate;', 'UDP-MurNAc-L-Ala-L-Glu']	
['Octadecanoic acid;', 'Stearate;', 'Stearic acid']	CCCCCCCCCCCCCCCCCC(=O)O
['Dodecanoic acid;', 'Dodecanoate;', 'Dodecylcarboxylate;', 'Lauric acid']	CCCCCCCCCCCC(=O)O
['Tetradecanoic acid;', 'Tetradecanoate;', 'Myristic acid']	CCCCCCCCCCCCCC(=O)O
['Carbonic acid;', 'Dihydrogen carbonate;', 'H2CO3']	C(=O)(O)O
['D-Galactose;', 'D-Galactopyranose']	C(C1C(C(C(C(O1)O)O)O)O)O
['D-Mannose;', 'Mannose;', 'Seminose;', 'Carubinose;', 'D-Mannopyranose']	C(C1C(C(C(C(O1)O)O)O)O)O
['D-Glucose;', 'Grape sugar;', 'Dextrose;', 'Glucose;', 'D-Glucopyranose']	C(C1C(C(C(C(O1)O)O)O)O)O
['D-Xylose;', 'Wood sugar']	C1C(C(C(C(O1)O)O)O)O
['Molybdate']	[O-][Mo](=O)(=O)[O-]
['Cob(I)alamin;', 'Cbl;', 'Vitamin B12s']	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co]
['Pyridoxine;', 'Pyridoxol']	CC1=NC=C(C(=C1O)CO)CO
['Thiamine;', 'Thiamin;', 'Vitamin B1;', 'Aneurin;', 'Antiberiberi factor']	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
['Nicotinate;', 'Nicotinic acid;', 'Niacin;', '3-Pyridinecarboxylic acid']	C1=CC(=CN=C1)C(=O)O
['4-Aminobenzoate;', 'ABEE;', '4-Aminobenzoic acid;', 'p-Aminobenzoate']	C1=CC(=CC=C1C(=O)[O-])N
['Biotin;', 'D-Biotin;', 'Vitamin H;', 'Coenzyme R']	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
['Folate;', 'Pteroylglutamic acid;', 'Folic acid']	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
['Fe2+;', 'Fe(II);', 'Ferrous ion;', 'Iron(2+)']	[Fe+2]
['Orthophosphate;', 'Phosphate;', 'Phosphoric acid;', 'Orthophosphoric acid']	OP(=O)(O)O
['sn-Glycerol 3-phosphate;', 'Glycerophosphoric acid;', 'D-Glycerol 1-phosphate']	C(C(COP(=O)(O)O)O)O
['D-Fructose;', 'Levulose;', 'Fruit sugar;', 'D-arabino-Hexulose']	C(C1C(C(C(O1)(CO)O)O)O)O
['H+;', 'Hydron']	[H+]
	
	
	
	
	
	
	
	
	
	
	
	
['Sucrose;', 'Cane sugar;', 'Saccharose;', '1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside']	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
['Glycerol;', 'Glycerin;', '1,2,3-Trihydroxypropane;', '1,2,3-Propanetriol']	C(C(CO)O)O
['Cellobiose;', '1-beta-D-Glucopyranosyl-4-D-glucopyranose']	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
['Butanoic acid;', 'Butanoate;', 'Butyrate;', 'Butyric acid']	CCCC(=O)O
['Hexadecanoic acid;', 'Hexadecanoate;', 'Hexadecylic acid;', 'Palmitic acid;', 'Palmitate;', 'Cetylic acid']	CCCCCCCCCCCCCCCC(=O)O
['L-Arabinose;', 'L-Arabinopyranose']	C1C(C(C(C(O1)O)O)O)O
H2O;	O
ATP;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
NAD+;	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
NADH;	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
NADPH;	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
NADP+;	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
Oxygen;	O=O
ADP;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N
Orthophosphate;	OP(=O)(O)O
CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
CO2;	C(=O)=O
Diphosphate;	
Ammonia;	N
UDP;	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
FAD;	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
Pyridoxal phosphate;	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
S-Adenosyl-L-methionine;	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
AMP;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
S-Adenosyl-L-homocysteine;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
Pyruvate;	CC(=O)C(=O)O
Acetyl-CoA;	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
L-Glutamate;	C(CC(=O)O)C(C(=O)O)N
2-Oxoglutarate;	C(CC(=O)O)C(=O)C(=O)O
Hydrogen peroxide;	OO
UDP-glucose;	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
D-Glucose;	C(C1C(C(C(C(O1)O)O)O)O)O
Heme;	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
Acetate;	CC(=O)O
GDP;	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
Oxaloacetate;	C(C(=O)C(=O)O)C(=O)O
Glycine;	C(C(=O)O)N
L-Alanine;	CC(C(=O)O)N
Succinate;	C(CC(=O)O)C(=O)O
UDP-N-acetyl-alpha-D-glucosamine;	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
GTP;	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
L-Lysine;	C(CCN)CC(C(=O)O)N
Glyoxylate;	C(=O)C(=O)O
L-Aspartate;	C(C(C(=O)O)N)C(=O)O
Glutathione;	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
UDP-alpha-D-galactose;	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
3'-Phosphoadenylyl sulfate;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N
Adenosine 3',5'-bisphosphate;	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
CMP;	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
Formate;	C(=O)O
Sulfate;	OS(=O)(=O)O
FMN;	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
L-Arginine;	C(CC(C(=O)O)N)CN=C(N)N
CTP;	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
L-Glutamine;	C(CC(=O)N)C(C(=O)O)N
L-Serine;	C(C(C(=O)O)N)O
Formaldehyde;	C=O
Thiamin diphosphate;	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O
Ascorbate;	C(C(C1C(=C(C(=O)O1)O)O)O)O
L-Methionine;	CSCCC(C(=O)O)N
Phosphoenolpyruvate;	C=C(C(=O)O)OP(=O)(O)O
UTP;	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
L-Ornithine;	C(CC(C(=O)O)N)CN
L-Tryptophan;	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
L-Phenylalanine;	C1=CC=C(C=C1)CC(C(=O)O)N
H+;	[H+]
ITP;	
L-Tyrosine;	C1=CC(=CC=C1CC(C(=O)O)N)O
Malonyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
Acetaldehyde;	CC=O
D-Fructose 6-phosphate;	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
Urea;	C(=O)(N)N
Nitrite	N(=O)[O-]
Sucrose;	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
Succinyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
D-Glucose 6-phosphate;	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
sn-Glycerol 3-phosphate;	C(C(COP(=O)(O)O)O)O
Sulfite;	OS(=O)O
D-Fructose;	C(C1C(C(C(O1)(CO)O)O)O)O
GDP-mannose;	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
L-Cysteine;	C(C(C(=O)O)N)S
beta-Alanine;	C(CN)C(=O)O
Propanoyl-CoA;	CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Tetrahydrofolate;	C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
D-Glucose 1-phosphate;	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
IDP;	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
UMP;	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O
Uracil	C1=CNC(=O)NC1=O
Anthranilate;	C1=CC=C(C(=C1)C(=O)[O-])N
2-Oxobutanoate;	CCC(=O)C(=O)[O-]
Glycerone phosphate;	C(C(=O)COP(=O)(O)O)O
CDP;	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O
Choline;	C[N+](C)(C)CCO
Glycerol;	C(C(CO)O)O
D-Ribose 5-phosphate;	C(C(C(C(C=O)O)O)O)OP(=O)(O)O
D-Glyceraldehyde 3-phosphate;	C(C(C=O)O)OP(=O)(O)O
5-Phospho-alpha-D-ribose 1-diphosphate;	C(C1C(C(C(O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O
Biotin;	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
D-Ribose	C1C(C(C(C(O1)O)O)O)O
Fumarate;	C(=CC(=O)O)C(=O)O
L-Leucine;	CC(C)CC(C(=O)O)N
D-Galactose;	C(C1C(C(C(C(O1)O)O)O)O)O
Glutathione disulfide;	
Isopentenyl diphosphate;	CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]
IMP;	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O
dATP;	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Methanol;	CO
D-Alanine;	CC(C(=O)O)N
Putrescine;	C(CCN)CN
L-Histidine;	C1=C(NC=N1)CC(C(=O)O)N
Butanoyl-CoA;	CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
